Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"03551373", 12, 2,    6928.59, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551387", 12, 2,    6928.59, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551388", 12, 2,    6928.59, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551374", 12, 2,    6928.59, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551375", 12, 2,    6928.59, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551378", 12, 2,    6928.59, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551376", 12, 2,    6928.59, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551377", 12, 2,    6928.59, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551379", 12, 2,    6928.59, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551380", 12, 2,    6928.59, -120.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"03551385", 12, 2,    6928.59, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551381", 12, 2,    6928.59, -120.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"03551382", 12, 2,    6928.59, -120.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"03551383", 12, 2,    6928.59, -120.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"03551383A", 12, 2,    6928.59, -120.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"03551384", 12, 2,    6928.59, -120.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"03551385A", 12, 2,    6928.59, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551386", 12, 2,    6928.59, -120.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"03551393", 12, 1,    6928.54,    0.0,         1, 3,    6928.49,  120.0,         1, 0, 0, 0, 0
"03551394A", 12, 2,    6928.58, -120.0,    1.0001, 3,    6928.49,  120.0,         1, 0, 0, 0, 0
"03551395", 12, 2,    6928.58, -120.0,    1.0001, 3,    6928.49,  120.0,         1, 0, 0, 0, 0
"035513A", 12, 1,    6928.54,    0.0,         1, 3,    6928.49,  120.0,         1, 0, 0, 0, 0
"035515", 12, 1,    6928.56,    0.0,    1.0001, 2,    6928.59, -120.0,    1.0001, 3,     6928.5,  120.0,         1
"035516", 12, 1,    6928.57,    0.0,    1.0001, 2,     6928.6, -120.0,    1.0001, 3,    6928.51,  120.0,         1
"035517", 12, 1,    6928.57,    0.0,    1.0001, 2,     6928.6, -120.0,    1.0001, 3,    6928.51,  120.0,         1
"03551601", 12, 2,     6928.6, -120.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"03551602", 12, 2,     6928.6, -120.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"03551603", 12, 2,     6928.6, -120.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"03551604", 12, 2,     6928.6, -120.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"035516A", 12, 2,     6928.6, -120.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"03551605", 12, 2,     6928.6, -120.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"035518", 12, 1,    6928.58,    0.0,    1.0001, 2,    6928.61, -120.0,    1.0001, 3,    6928.51,  120.0,         1
"03551701", 12, 1,    6928.57,    0.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"03551702", 12, 1,    6928.57,    0.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"03551703", 12, 1,    6928.57,    0.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"03551704", 12, 1,    6928.57,    0.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"03551708", 12, 1,    6928.57,    0.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"03551705", 12, 1,    6928.57,    0.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"03551706", 12, 1,    6928.57,    0.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
"03551707", 12, 1,    6928.57,    0.0,    1.0001, 3,    6928.51,  120.0,         1, 0, 0, 0, 0
